Year,Production/Services,Industry Sector,Industry Sub Category,Value
2002,Services sector,Other service activities,Other personal service activities,1.230827495
2003,Services sector,Other service activities,Other personal service activities,1.293103448
2004,Services sector,Other service activities,Other personal service activities,1.188016529
2005,Services sector,Other service activities,Other personal service activities,1.135130623
2006,Services sector,Other service activities,Other personal service activities,1.00180011
2007,Services sector,Other service activities,Other personal service activities,1.054835333
2008,Services sector,Other service activities,Other personal service activities,0.915476284
2009,Services sector,Other service activities,Other personal service activities,0.869832961
2010,Services sector,Other service activities,Other personal service activities,0.902739618
2011,Services sector,Other service activities,Other personal service activities,1.130753305
2012,Services sector,Other service activities,Other personal service activities,0.954418299
2013,Services sector,Other service activities,Other personal service activities,0.900008257
2014,Services sector,Other service activities,Other personal service activities,0.889565636
2015,Services sector,Other service activities,Other personal service activities,0.770500826
2016,Services sector,Other service activities,Other personal service activities,0.976810673
2017,Services sector,Other service activities,Other personal service activities,0.690585807
2018,Services sector,Other service activities,Other personal service activities,0.827660891
1998,Services sector,Other service activities,,1.678040049
1999,Services sector,Other service activities,,1.62845511
2000,Services sector,Other service activities,,1.794605809
2001,Services sector,Other service activities,,1.771144279
2002,Services sector,Other service activities,,1.66635107
2003,Services sector,Other service activities,,1.618578466
2004,Services sector,Other service activities,,1.523760331
2005,Services sector,Other service activities,,1.569151156
2006,Services sector,Other service activities,,1.502700164
2007,Services sector,Other service activities,,1.441339882
2008,Services sector,Other service activities,,1.36532239
2009,Services sector,Other service activities,,1.347086444
2010,Services sector,Other service activities,,1.42083366
2011,Services sector,Other service activities,,1.616499443
2012,Services sector,Other service activities,,1.620865559
2013,Services sector,Other service activities,,1.626620428
2014,Services sector,Other service activities,,1.666933803
2015,Services sector,Other service activities,,1.368032078
2016,Services sector,Other service activities,,1.500952986
2017,Services sector,Other service activities,,1.158914113
2018,Services sector,Other service activities,,1.260829208
1998,Services sector,Activities of households,Households as employers and own use production,0.089495469
1999,Services sector,Activities of households,Households as employers and own use production,0.064281123
2000,Services sector,Activities of households,Households as employers and own use production,0.05186722
2001,Services sector,Activities of households,Households as employers and own use production,0.059701493
2002,Services sector,Activities of households,Households as employers and own use production,0.056807423
2003,Services sector,Activities of households,Households as employers and own use production,0.105559465
2004,Services sector,Activities of households,Households as employers and own use production,0.09469697
2005,Services sector,Activities of households,Households as employers and own use production,0.108505133
2006,Services sector,Activities of households,Households as employers and own use production,0.086092197
2007,Services sector,Activities of households,Households as employers and own use production,0.088573959
2008,Services sector,Activities of households,Households as employers and own use production,0.063136295
2009,Services sector,Activities of households,Households as employers and own use production,0.092371642
2010,Services sector,Activities of households,Households as employers and own use production,0.133448465
2011,Services sector,Activities of households,Households as employers and own use production,0.135371875
2012,Services sector,Activities of households,Households as employers and own use production,0.139871647
2013,Services sector,Activities of households,Households as employers and own use production,0.14036826
2014,Services sector,Activities of households,Households as employers and own use production,0.136239782
2015,Services sector,Activities of households,Households as employers and own use production,0.1179338
2016,Services sector,Activities of households,Households as employers and own use production,0.111181703
2017,Services sector,Activities of households,Households as employers and own use production,0.111128751
2018,Services sector,Activities of households,Households as employers and own use production,0.15470297
1998,Services sector,Activities of households,,0.089495469
1999,Services sector,Activities of households,,0.064281123
2000,Services sector,Activities of households,,0.05186722
2001,Services sector,Activities of households,,0.059701493
2002,Services sector,Activities of households,,0.056807423
2003,Services sector,Activities of households,,0.105559465
2004,Services sector,Activities of households,,0.09469697
2005,Services sector,Activities of households,,0.108505133
2006,Services sector,Activities of households,,0.086092197
2007,Services sector,Activities of households,,0.088573959
2008,Services sector,Activities of households,,0.063136295
2009,Services sector,Activities of households,,0.092371642
2010,Services sector,Activities of households,,0.133448465
2011,Services sector,Activities of households,,0.135371875
2012,Services sector,Activities of households,,0.139871647
2013,Services sector,Activities of households,,0.14036826
2014,Services sector,Activities of households,,0.136239782
2015,Services sector,Activities of households,,0.1179338
2016,Services sector,Activities of households,,0.111181703
2017,Services sector,Activities of households,,0.111128751
2018,Services sector,Activities of households,,0.15470297
1998,Services sector,,,80.5906701
1999,Services sector,,,81.24062567
2000,Services sector,,,80.91286307
2001,Services sector,,,81.19402985
2002,Services sector,,,81.29142208
2003,Services sector,,,78.49225897
2004,Services sector,,,79.39910468
2005,Services sector,,,79.15032134
2006,Services sector,,,77.89778508
2007,Services sector,,,79.49110234
2008,Services sector,,,79.87530582
2009,Services sector,,,78.91617273
2010,Services sector,,,79.48033598
2011,Services sector,,,80.44274566
2012,Services sector,,,84.23564259
2013,Services sector,,,85.96317397
2014,Services sector,,,86.19169739
2015,Services sector,,,85.69856121
2016,Services sector,,,84.91105464
2017,Services sector,,,84.71979679
2018,Services sector,,,85.1407797
